,customer_id,recency,frequency,monetary_value,R,F,M,rfm_score,RFM_level
0,1,8,11,9084.449999999999,4,4,4,12,Highly potential
1,2,129,3,4149.07,1,1,2,4,Needs Attention
2,5,17,6,5903.2,4,3,3,10,Highly potential
3,8,23,9,9933.289999999999,3,4,4,11,Highly potential
4,9,79,6,5357.55,2,3,2,7,Require Activation
5,12,68,7,6394.21,2,3,3,8,Require Activation
6,13,28,7,7734.740000000001,3,3,3,9,Highly potential
7,14,48,3,2509.3900000000003,2,1,1,4,Needs Attention
8,15,36,6,4923.339999999999,3,3,2,8,Require Activation
9,16,100,5,7763.79,1,2,3,6,Loyal
10,17,1,5,4676.1900000000005,4,2,2,8,Require Activation
11,18,135,7,8878.62,1,3,4,8,Require Activation
12,19,281,2,2948.34,1,1,1,3,Require Activation
13,20,32,4,6618.860000000001,3,1,3,7,Require Activation
14,21,7,5,7446.209999999999,4,2,3,9,Highly potential
15,24,18,7,6885.51,4,3,3,10,Highly potential
16,25,6,12,9996.33,4,4,4,12,Highly potential
17,26,260,2,2245.85,1,1,1,3,Require Activation
18,27,144,7,7679.97,1,3,3,7,Require Activation
19,28,84,6,5492.900000000001,2,3,2,7,Require Activation
20,29,23,9,10855.57,3,4,4,11,Highly potential
21,31,90,4,3109.9999999999995,1,1,1,3,Require Activation
22,32,139,7,7873.18,1,3,3,7,Require Activation
23,33,39,7,9384.23,3,3,4,10,Highly potential
24,34,103,8,12098.830000000002,1,4,4,9,Highly potential
25,35,93,4,4182.28,1,1,2,4,Needs Attention
26,36,164,2,1781.04,1,1,1,3,Require Activation
27,37,8,9,11291.71,4,4,4,12,Highly potential
28,38,51,4,4502.59,2,1,2,5,Promising
29,39,35,12,11237.19,3,4,4,11,Highly potential
30,40,15,5,4882.43,4,2,2,8,Require Activation
31,41,30,9,9114.150000000001,3,4,4,11,Highly potential
32,42,112,4,1936.46,1,1,1,3,Require Activation
33,43,62,9,6574.59,2,4,3,9,Highly potential
34,44,36,7,7497.399999999999,3,3,3,9,Highly potential
35,45,44,3,2912.33,3,1,1,5,Promising
36,47,36,7,8022.01,3,3,4,10,Highly potential
37,48,83,8,9654.119999999999,2,4,4,10,Highly potential
38,49,37,4,5637.490000000001,3,1,2,6,Loyal
39,50,27,7,7362.2699999999995,3,3,3,9,Highly potential
40,51,56,8,9667.460000000003,2,4,4,10,Highly potential
41,53,8,5,5472.74,4,2,2,8,Require Activation
42,54,68,7,9813.66,2,3,4,9,Highly potential
43,55,47,8,6754.209999999999,2,4,3,9,Highly potential
44,56,3,7,5060.86,4,3,2,9,Highly potential
45,57,36,6,8748.75,3,3,4,10,Highly potential
46,58,21,8,6967.3099999999995,3,4,3,10,Highly potential
47,59,23,3,2797.47,3,1,1,5,Promising
48,61,48,6,7529.360000000001,2,3,3,8,Require Activation
49,63,69,3,4156.66,2,1,2,5,Promising
50,64,4,5,4111.12,4,2,2,8,Require Activation
51,65,137,5,6421.17,1,2,3,6,Loyal
52,66,44,5,6489.33,3,2,3,8,Require Activation
